ID,Crop,Status
None,None,Minor
91,Amaranths,Minor
82,Apples,Minor
72,Avocado,Minor
36,Bambara Nuts,Minor
302,Bamboo,Minor
71b,Banana Beer,Minor
71a,Banana Food,Minor
71c,Banana Sweet,Minor
17,Barley,Minor
31,Beans,Minor
98,Bilimbi,Minor
18,Black Pepper,Minor
81,Blood Fruit,Minor
67,Bread Fruit,Minor
14,Bulrush Millet,Minor
86,Cabbage,Minor
61,Cardamom ,Minor
89,Carrot,Minor
46,Cashew Nut,Minor
21,Cassava,Major
48,Castor Seed,Minor
96,Cauliflower,Minor
35,Chickpeas,Minor
90,Chilies,Minor
64,Cinnamon,Minor
66,Clove,Minor
56,Cocoa,Major
45,Coconut,Minor
25,Cocoyams,Minor
54,Coffee,Major
50,Cotton,Major
32,Cowpeas,Minor
93,Cucumber,Minor
200,Custard Apple,Minor
210,Date,Minor
97,Durian,Minor
94,Egg Plant,Minor
306,Fence Tree,Minor
37,Field Peas,Minor
15,Finger Millet,Minor
303,Firewood/Fodder,Minor
27,Ginger,Minor
201,God Fruit,Minor
77,Grapefruit,Minor
78,Grapes,Minor
33,Green Gram,Minor
300,Green Tomato,Minor
43,Groundnut,Minor
80,Guava,Minor
23,Irish Potatoes,Major
69,Jack Fruit,Minor
62,Jute,Minor
59,Kapok,Minor
101,Kiwi,Minor
852,Lemon,Minor
851,Lime,Minor
11,Maize,Major
38,Malay Apple,Minor
79,Mandarin,Minor
73,Mango,Minor
305,Medicinal Plant,Minor
202,Mitobo,Minor
301,Monkeybread/Baobab,Minor
65,Nutmeg,Minor
100,Okra,Minor
26,Onions,Minor
76,Orange,Minor
12,Paddy,Minor
44,Palm Oil,Minor
74,Papaw,Minor
70,Passion Fruit,Minor
84,Peaches,Minor
204,Peaches,Minor
83,Pears,Minor
34,Pigeon Pea,Minor
75,Pineapple,Minor
203,Plum,Minor
205,Pomegranate,Minor
68,Pomelo,Minor
92,Pumpkins,Minor
52,Pyrethrum,Minor
99,Rambutan,Minor
57,Rubber,Minor
19,Seaweed,Minor
42,Sesame/Simsim,Minor
53,Sisal,Minor
13,Sorghum,Minor
47,Soyabeans,Minor
88,Spinach,Minor
39,Star Fruit,Minor
60,Sugar Cane,Major
41,Sunflower,Minor
22,Sweet Potatoes,Minor
63,Tamarind,Minor
55,Tea,Major
304,Timber,Minor
51,Tobacco,Minor
87,Tomatoes,Minor
211,Tungamaa,Minor
95,Water Mellon,Minor
58,Wattle,Minor
16,Wheat,Minor
24,Yams,Minor
71,Bananas,Minor
